Codigo,Fabricante,Descricao dos Produtos,UN,EAN/GTIN,Quantidade,Valor,Contar Nome,Contar Barcode,EAN SEARCH,TÍTULO
13903,ARCOM,NUGGET PASTA PRETA 36G,UN-UN,7791130002554,34,"8,50",1,1,https://www.ean-search.org/?q=7791130002554,
6228,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N0,UN-UN,7894591683109,17,"22,50",1,1,https://www.ean-search.org/?q=7894591683109,
6230,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N02,UN-UN,7894591683123,15,"22,50",1,1,https://www.ean-search.org/?q=7894591683123,
6231,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N03,UN-UN,7894591683130,10,"22,50",1,1,https://www.ean-search.org/?q=7894591683130,
6232,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N04,UN-UN,7894591683147,14,"22,50",1,1,https://www.ean-search.org/?q=7894591683147,
6233,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N05,UN-UN,7894591683154,3,"22,50",1,1,https://www.ean-search.org/?q=7894591683154,
6211,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N06,UN-UN,7894591683161,9,"22,50",1,1,https://www.ean-search.org/?q=7894591683161,
6209,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N07,UN-UN,7894591683178,11,"22,50",1,1,https://www.ean-search.org/?q=7894591683178,
6210,UNIAO MUNDIAL,NUM COLON RESIDENCIAL N08,UN-UN,7894591683185,11,"22,50",1,1,https://www.ean-search.org/?q=7894591683185,
6238,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N0,UN-UN,7894591682102,,"9,90",1,1,https://www.ean-search.org/?q=7894591682102,
6239,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N01,UN-UN,7894591682119,21,"9,90",1,1,https://www.ean-search.org/?q=7894591682119,
6240,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N02,UN-UN,7894591682126,23,"9,90",1,1,https://www.ean-search.org/?q=7894591682126,
6242,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N04,UN-UN,7894591682140,23,"9,90",1,1,https://www.ean-search.org/?q=7894591682140,
6243,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N05,UN-UN,7894591682157,2,"9,90",1,1,https://www.ean-search.org/?q=7894591682157,
6245,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N06,UN-UN,7894591682164,19,"9,90",1,1,https://www.ean-search.org/?q=7894591682164,
6179,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N07,UN-UN,7894591682171,3,"9,90",1,1,https://www.ean-search.org/?q=7894591682171,
6180,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N08,UN-UN,7894591682188,15,"9,90",1,1,https://www.ean-search.org/?q=7894591682188,
6181,UNIAO MUNDIAL,NUMERO COLONIAL P/APT N09,UN-UN,7894591682195,9,"9,90",1,1,https://www.ean-search.org/?q=7894591682195,
6241,UNIAO MUNDIAL,NUMERO COLONIAL P/APTO N03,UN-UN,7894591682133,22,"9,90",1,1,https://www.ean-search.org/?q=7894591682133,
6229,UNIAO MUNDIAL,NUMERO COLONIAL RESID 01,UN-UN,7894591683116,12,"22,50",1,1,https://www.ean-search.org/?q=7894591683116,
11892,UNIAO MUNDIAL,NUMERO COLONIAL RESID.09,UN-UN,7894591683192,10,"22,50",1,1,https://www.ean-search.org/?q=7894591683192,
17279,EXTRA,NUMERO METAL P/CHUMBAR,UN-UN,,1,"1,50",1,,,
17278,EXTRA,NUMERO METAL P/PARAFUSO,UN-UN,,43,"2,00",1,,,
2346,ASTRA,OBTURADOR C/ECON P/SAIDA AGUA,UN-UN,7891222117644,31,"21,50",1,1,https://www.ean-search.org/?q=7891222117644,
15586,CIPLA,OBTURADOR CAIXA C-2,UN-UN,7896050301883,1,"57,90",1,1,https://www.ean-search.org/?q=7896050301883,
1578,MONTANA,OBTURADOR COAXIAL C/EXTROV INCORP,UN-UN,7898241153523,20,"69,00",1,1,https://www.ean-search.org/?q=7898241153523,
8783,MONTANA,OBTURADOR DE VARETA AZUL UNIV,UN-UN,7898241153226,18,"76,90",1,1,https://www.ean-search.org/?q=7898241153226,
1583,MONTANA,OBTURADOR DE VARETA BRANC UNIV,UN-UN,7898241153530,15,"76,90",1,1,https://www.ean-search.org/?q=7898241153530,
2345,ASTRA,OBTURADOR P/SAIDA AGUA,UN-UN,7891222043769,13,"14,90",1,1,https://www.ean-search.org/?q=7891222043769,
1580,MONTANA,OBTURADOR PRECISA INTERNA,UN-UN,,1,"59,00",1,,,
22386,GLOBAL PLAST,OBTURADOR UNIV DE CX ACOPLADA C/CORRENTE,UN-UN,7898479252197,50,"8,90",1,1,https://www.ean-search.org/?q=7898479252197,
9428,BRASFORT,OCULOS DE PROTECAO 8010,UN-UN,SEM GTIN,,"5,50",1,,,
18027,RIO CHENS,OCULOS DE PROTECAO FUME,UN-UN,7899206159413,17,"3,90",1,1,https://www.ean-search.org/?q=7899206159413,
11628,RACUIA/TERUYA,OCULOS DE PROTECAO JAGUAR FUME,UN-UN,SEM GTIN,,"6,50",1,,,
9322,BRASFORT,OCULOS DE PROTECAO JAGUAR INCOLOR,UN-UN,SEM GTIN,,"4,50",1,,,
11629,RACUIA/TERUYA,OCULOS DE PROTECAO TRANSPARENTE,UN-UN,7898554010117,30,"6,50",1,1,https://www.ean-search.org/?q=7898554010117,
21373,RIO CHENS,OCULOS DE PROTE�AO CROMADO,UN-UN,,,"4,50",1,,,
21250,CHINATOWN,OCULOS DE PROTE�AO IMPERIAL LENT/INCOLOR,UN-UN,,12,"7,90",1,,,
20574,RIO CHENS,OCULOS DE PROTE��O INCOLOR,UN-UN,7899206159406,-2,"6,90",1,1,https://www.ean-search.org/?q=7899206159406,
18872,IMPERIAL PLASTICOS,OCULOS DE SEGURAN�A FUME,UN-UN,7898938200301,4,"5,50",1,1,https://www.ean-search.org/?q=7898938200301,
18871,IMPERIAL PLASTICOS,OCULOS DE SEGURAN�A INCOLOR DEFENDER,UN-UN,7898938200318,1,"4,90",1,1,https://www.ean-search.org/?q=7898938200318,
16387,IMPERIAL PLASTICOS,OCULOS DE SEGURAN�A INCOLOR NEW DEFENDER,UN-UN,SEM GTIN,,"3,90",1,,,
21012,"WESTER ""ETILUX""",OCULOS P/SOLDA LENTE DUPLA,UN-UN,7897186007311,9,"22,90",1,1,https://www.ean-search.org/?q=7897186007311,
9446,SOMAR,OCULOS PROTECAO C/ELAST E RESPIRO 8121,UN-UN,SEM GTIN,,"4,50",1,,,
3468,PISA,OCULOS PROTECAO C/ELASTICO HF,UN-UN,6922711085470,3,"19,90",1,1,https://www.ean-search.org/?q=6922711085470,
12194,RACUIA/TERUYA,OCULOS PROTECAO INCOLOR,UN-UN,7898390940456,30,"4,50",1,1,https://www.ean-search.org/?q=7898390940456,
9450,BRASFORT,OCULOS PROTECAO INCOLOR C/HASTE 8122,UN-UN,SEM GTIN,,"5,50",1,,,
9605,PISA,OCULOS PROTECAO TRANSPARENTE HF,UN-UN,6922711085463,1,"6,50",1,1,https://www.ean-search.org/?q=6922711085463,
21897,TEKWELD,OCULOS PROTE�AO SOLDA BOXER,UN-UN,7898965033323,,"79,00",1,1,https://www.ean-search.org/?q=7898965033323,
21929,TECIDOS E ARMA,OCULOS SEGURAN�A INCOLOR,UN-UN,7898948325155,,"5,50",1,1,https://www.ean-search.org/?q=7898948325155,
6711,RACUIA/TERUYA,ODORIZANTE P/AUTO CARRO NOVO 60GR,UN-UN,SEM GTIN,2,"9,90",1,,,
6726,RACUIA/TERUYA,ODORIZANTE P/AUTO LAVANDA 60GR,UN-UN,7896067720806,,"8,50",1,1,https://www.ean-search.org/?q=7896067720806,
6725,RACUIA/TERUYA,ODORIZANTE P/AUTO MORANGO 60GR,UN-UN,7896067720738,,"9,90",1,1,https://www.ean-search.org/?q=7896067720738,
